hero_names,Powers
Amazo,"Agility,Lantern Power Ring,Durability,Flight,Underwater breathing,Marksmanship,Power Augmentation,Longevity,Intelligence,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Duplication,Size Changing,Stamina,Super Speed,Weapon-based Powers,Teleportation,Enhanced Senses,Jump,Shapeshifting,Camouflage,Phasing,Fire Control,Enhanced Memory,Reflexes,Invulnerability,Energy Constructs,Force Fields,Power Absorption,Enhanced Hearing,Time Travel,Enhanced Smell,Water Control,Vision - Telescopic,Magnetism,Invisibility,Vision - Microscopic,Super Breath,Vision - Night,Vision - Heat,Vision - X-Ray,Vision - Thermal"
Ammo,Weapons Master
Ando Masahashi,Power Augmentation
Angel,"Agility,Accelerated Healing,Durability,Stealth,Flight,Longevity,Super Strength,Stamina,Super Speed,Enhanced Senses,Magic,Immortality,Enhanced Memory,Psionic Powers,Enhanced Hearing,Gliding,Vision - Telescopic,Toxin and Disease Resistance"
Angel Dust,"Agility,Super Strength,Stamina,Super Speed"
Angel Salvadore,"Flight,Animal Attributes,Animal Oriented Powers,Regeneration,Toxin and Disease Control"
Angela,Longevity
Animal Man,"Animal Attributes,Telepathy,Energy Blasts,Animal Oriented Powers,Empathy"
Annihilus,"Agility,Durability,Flight,Super Strength,Stamina,Super Speed,Reflexes"
Ant-Man,"Intelligence,Size Changing"
Ant-Man II,"Agility,Stealth,Intelligence,Super Strength,Telepathy,Size Changing,Stamina,Animal Oriented Powers,Animal Control"
Anti-Monitor,"Accelerated Healing,Dimensional Awareness,Durability,Energy Absorption,Flight,Power Augmentation,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Darkforce Manipulation,Teleportation,Energy Beams,Immortality,Invulnerability,Energy Constructs,Molecular Manipulation,Power Suit,Time Travel,Time Manipulation,Matter Absorption,Reality Warping"
Anti-Spawn,"Durability,Super Strength,Energy Blasts,Stamina,Teleportation,Energy Manipulation"
Anti-Venom,"Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Enhanced Senses,Shapeshifting,Camouflage,Reflexes,Elasticity,Toxin and Disease Resistance,Wallcrawling,Web Creation,Symbiote Costume"
Apocalypse,"Agility,Accelerated Healing,Energy Absorption,Flight,Power Augmentation,Longevity,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed,Teleportation,Telekinesis,Shapeshifting,Immortality,Reflexes,Invulnerability,Force Fields,Natural Armor,Molecular Manipulation,Levitation,Biokinesis"
Aquababy,"Underwater breathing,Super Strength,Water Control"
Aqualad,"Durability,Underwater breathing,Super Strength,Cryokinesis,Telepathy,Stamina,Super Speed,Energy Beams,Magic,Enhanced Hearing,Heat Generation,Water Control,Vision - Night"
Aquaman,"Agility,Accelerated Healing,Cold Resistance,Durability,Stealth,Underwater breathing,Longevity,Intelligence,Super Strength,Telepathy,Stamina,Super Speed,Enhanced Senses,Reflexes,Invulnerability,Enhanced Hearing,Animal Control,Enhanced Sight,Heat Resistance,Enhanced Smell,Water Control,Sonar,Sub-Mariner,Vision - Night"
Arachne,"Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed,Reflexes,Psionic Powers,Toxin and Disease Resistance,Enhanced Touch,Wallcrawling,Web Creation"
Archangel,"Agility,Accelerated Healing,Durability,Flight,Super Strength,Stamina,Gliding,Vision - Telescopic"
Arclight,"Durability,Super Strength,Stamina,Seismic Power"
Ardina,"Agility,Accelerated Healing,Cold Resistance,Durability,Flight,Super Strength,Energy Blasts,Super Speed,Enhanced Senses,Reflexes,Invulnerability,Self-Sustenance,Empathy,Molecular Manipulation,Energy Manipulation,Heat Resistance,Power Cosmic"
Ares,"Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed,Immortality,Reflexes"
Ariel,"Telepathy,Teleportation"
Armor,"Super Strength,Energy Armor,Psionic Powers"
Astro Boy,"Flight,Super Strength,Energy Blasts,Super Speed,Weapon-based Powers,Enhanced Hearing,Vision - Telescopic,Omnilingualism"
Atlas,"Durability,Stealth,Intelligence,Super Strength,Size Changing,Stamina,Super Speed,Immortality,Reflexes,Invulnerability,Self-Sustenance"
Atom,"Longevity,Super Strength,Duplication,Stamina,Super Speed,Radiation Immunity"
Atom Girl,Size Changing
Atom II,"Flight,Super Strength,Size Changing,Density Control,Gliding"
Atom III,Size Changing
Atom IV,Intelligence
Aurora,"Accelerated Healing,Durability,Flight,Energy Blasts,Super Speed,Reflexes,Molecular Manipulation,Light Control,Illumination,Molecular Combustion"
Azazel,"Accelerated Healing,Longevity,Teleportation,Dimensional Travel,Shapeshifting,Regeneration"
Azrael,"Weapons Master,Super Strength,Stamina,Super Speed,Weapon-based Powers"
Aztar,"Flight,Super Strength,Telepathy,Stamina,Astral Travel,Super Speed,Teleportation,Magic,Invulnerability,Precognition,Intangibility,Illusions,Invisibility"
Bananaman,"Flight,Super Strength,Super Speed,Invulnerability"
Bane,"Durability,Super Strength,Stamina,Super Speed,Enhanced Memory,Reflexes"
Banshee,"Flight,Audio Control,Force Fields,Enhanced Hearing,Sonar,Sonic Scream"
Bantam,"Durability,Super Strength,Stamina"
Batgirl,"Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers,Reflexes"
Batgirl IV,"Agility,Stealth,Weapons Master,Peak Human Condition,Toxin and Disease Resistance"
Batgirl VI,"Agility,Marksmanship,Stamina,Weapon-based Powers"
Batman,"Agility,Durability,Stealth,Underwater breathing,Marksmanship,Weapons Master,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers,Peak Human Condition,Reflexes,Gliding,Power Suit,Vision - Night,Vision - Infrared"
Batman II,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Weapon-based Powers,Peak Human Condition"
Battlestar,"Agility,Durability,Super Strength,Stamina,Super Speed,Reflexes"
Batwoman V,"Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Dexterity"
Beak,"Flight,Gliding,Vision - Telescopic"
Beast,"Agility,Accelerated Healing,Animal Attributes,Intelligence,Super Strength,Stamina,Dexterity,Super Speed,Enhanced Senses,Jump,Reflexes,Natural Weapons,Wallcrawling,Vision - Night"
Beast Boy,"Agility,Durability,Flight,Animal Attributes,Super Strength,Size Changing,Super Speed,Animal Oriented Powers,Shapeshifting,Empathy,Natural Armor,Natural Weapons,Sub-Mariner,Wallcrawling"
Ben 10,"Omnitrix,Shapeshifting"
Beta Ray Bill,"Accelerated Healing,Super Strength,Stamina,Super Speed,Immortality,Invulnerability,Toxin and Disease Resistance"
Beyonder,"Accelerated Healing,Dimensional Awareness,Energy Absorption,Flight,Super Strength,Telepathy,Energy Blasts,Size Changing,Super Speed,Teleportation,Telekinesis,Shapeshifting,Immortality,Invulnerability,Force Fields,Psionic Powers,Energy Manipulation,Omnipotent,Reality Warping"
Big Barda,"Agility,Durability,Flight,Longevity,Super Strength,Stamina,Immortality,Reflexes,Invulnerability,Toxin and Disease Resistance"
Big Daddy,Stamina
Big Man,Marksmanship
Bill Harken,"Super Strength,Super Speed,Toxin and Disease Resistance"
Billy Kincaid,Possession
Binary,"Durability,Energy Absorption,Flight,Super Strength,Energy Blasts,Super Speed"
Bionic Woman,"Agility,Durability,Super Strength,Stamina,Super Speed,Jump,Enhanced Hearing"
Bird-Brain,"Flight,Animal Attributes,Natural Weapons"
Bird-Man,"Flight,Super Strength,Animal Oriented Powers,Natural Weapons"
Bird-Man II,"Flight,Power Suit"
Birdman,"Agility,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Immortality,Force Fields"
Bishop,"Accelerated Healing,Energy Absorption,Super Strength,Energy Blasts,Stamina,Invulnerability,Time Travel,Energy Resistance"
Bizarro,"Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Marksmanship,Longevity,Super Strength,Cryokinesis,Stamina,Super Speed,Enhanced Senses,Jump,Invulnerability,Self-Sustenance,Enhanced Hearing,Hypnokinesis,Enhanced Sight,Vision - Telescopic,Vision - Microscopic,Super Breath,Vision - X-Ray,Vision - Cryo"
Bizarro-Girl,"Agility,Accelerated Healing,Durability,Energy Absorption,Flight,Super Strength,Stamina,Super Speed,Enhanced Senses,Jump,Enhanced Memory,Reflexes,Invulnerability,Enhanced Hearing,Enhanced Sight,Vision - Telescopic,Toxin and Disease Resistance,Vision - Microscopic,Super Breath,Vision - Cryo"
Black Abbott,"Telepathy,Energy Blasts,Telekinesis,Mind Control,Mind Blast"
Black Adam,"Accelerated Healing,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed,Telekinesis,Magic,Clairvoyance,Invulnerability,Self-Sustenance,Enhanced Hearing"
Black Bolt,"Agility,Durability,Energy Absorption,Flight,Longevity,Super Strength,Telepathy,Energy Blasts,Stamina,Super Speed,Reflexes,Molecular Manipulation,Sonic Scream"
Black Canary,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Audio Control,Reflexes,Sonic Scream"
Black Cat,"Agility,Super Strength,Stamina,Super Speed,Reflexes,Probability Manipulation,Vision - Infrared"
Black Flash,"Agility,Stealth,Flight,Super Strength,Stamina,Super Speed,Death Touch,Enhanced Senses,Dimensional Travel,Immortality,Intangibility,Natural Weapons,Time Manipulation"
Black Knight III,Weapon-based Powers
Black Lightning,"Energy Absorption,Flight,Energy Blasts,Electrokinesis,Peak Human Condition,Force Fields,Energy Manipulation"
Black Mamba,"Darkforce Manipulation,Hypnokinesis,Illusions"
Black Manta,"Agility,Cold Resistance,Durability,Stealth,Underwater breathing,Marksmanship,Weapons Master,Super Strength,Energy Blasts,Stamina,Super Speed,Jump,Peak Human Condition,Camouflage,Power Suit,Vision - Telescopic,Sub-Mariner,Vision - Infrared"
Black Panther,"Agility,Stealth,Marksmanship,Weapons Master,Stamina,Enhanced Senses,Peak Human Condition,Enhanced Memory,Reflexes,Enhanced Hearing,Enhanced Smell,Vision - Telescopic,Vision - Night"
Black Vulcan,"Flight,Super Speed,Electrokinesis,Time Travel"
Black Widow,"Agility,Stealth,Marksmanship,Weapons Master,Longevity,Intelligence,Stamina,Peak Human Condition,Reflexes"
Blackout,"Agility,Accelerated Healing,Durability,Super Strength,Stamina,Super Speed,Camouflage,Reflexes,Vision - Telescopic,Vision - Night"
Blackwing,"Flight,Telepathy"
Blackwulf,"Durability,Super Strength,Energy Blasts,Death Touch"
Blade,"Agility,Accelerated Healing,Weapons Master,Super Strength,Stamina,Super Speed,Enhanced Senses,Enhanced Hearing,Enhanced Smell,Vision - Telescopic,Vision - Night"
Bling!,"Durability,Natural Armor,Natural Weapons"
Blink,Teleportation
Blizzard,"Cryokinesis,Weapon-based Powers"
Blizzard II,Cryokinesis
Blob,"Durability,Super Strength,Gravity Control"
Bloodaxe,"Agility,Durability,Super Strength,Cryokinesis,Energy Blasts,Stamina,Super Speed,Weapon-based Powers,Teleportation,Fire Control,Reflexes,Invulnerability,Magnetism"
Bloodhawk,"Flight,Enhanced Senses,Shapeshifting,Regeneration,Natural Weapons,Radiation Immunity,Toxin and Disease Resistance"
Bloodwraith,"Energy Absorption,Weapons Master,Super Strength,Energy Blasts,Weapon-based Powers,Teleportation,Telekinesis,Magic,Invulnerability"
Blue Beetle,"Flight,Super Strength,Energy Blasts"
Blue Beetle II,Intelligence
Blue Beetle III,"Agility,Accelerated Healing,Cold Resistance,Flight,Super Strength,Energy Blasts,Force Fields,Technopath/Cyberpath,Power Suit,Energy Manipulation,Heat Resistance,Symbiote Costume"
Blue Streak,"Accelerated Healing,Super Speed,Power Suit"
Boba Fett,"Agility,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Stamina,Enhanced Hearing,Enhanced Sight,Power Suit,Radar Sense"
Bomb Queen,"Accelerated Healing,Energy Blasts"
Boom-Boom,"Agility,Energy Absorption,Energy Blasts,Energy Beams,Psionic Powers,Energy Manipulation"
Booster Gold,"Agility,Durability,Flight,Weapons Master,Longevity,Intelligence,Super Strength,Energy Blasts,Enhanced Senses,Invulnerability,Force Fields,Precognition,Enhanced Hearing,Power Suit,Time Travel,Time Manipulation,Vision - Infrared,Vision - X-Ray"
Box IV,Telekinesis
Bradley,Electrokinesis
Brainiac,"Durability,Flight,Longevity,Intelligence,Super Strength,Telepathy,Super Speed,Telekinesis,Force Fields,Self-Sustenance,Omnilingualism"
Brainiac 5,"Intelligence,Energy Beams,Force Fields"
Brother Voodoo,Magic
Brundlefly,"Agility,Stealth,Super Strength,Stamina,Toxin and Disease Control,Wallcrawling"
Buffy,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Super Strength,Stamina,Super Speed,Enhanced Memory,Reflexes,Psionic Powers,Vision - Telescopic"
Bullseye,"Durability,Marksmanship,Weapons Master"
Bumblebee,"Stealth,Flight,Intelligence,Super Strength,Energy Blasts,Size Changing,Stamina,Electrokinesis,Enhanced Sight,Power Suit"
Bumbleboy,"Flight,Telepathy"
Bushido,"Agility,Weapons Master"
Cable,"Agility,Accelerated Healing,Durability,Stealth,Flight,Marksmanship,Weapons Master,Intelligence,Super Strength,Telepathy,Energy Blasts,Stamina,Dexterity,Super Speed,Teleportation,Telekinesis,Astral Projection,Force Fields,Psionic Powers,Technopath/Cyberpath,Precognition,Mind Control,Molecular Manipulation,Mind Blast,Time Travel,Illusions,Cloaking,Telepathy Resistance,Mind Control Resistance,Vision - Thermal"
Callisto,"Agility,Accelerated Healing,Super Strength,Enhanced Senses,Reflexes,Wallcrawling,Vision - Night"
Cameron Hicks,"Marksmanship,Hyperkinesis,Spatial Awareness"
Cannonball,"Energy Absorption,Flight,Energy Armor,Super Speed,Immortality"
Captain America,"Agility,Durability,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers,Peak Human Condition,Reflexes"
Captain Atom,"Agility,Accelerated Healing,Energy Absorption,Flight,Weapons Master,Super Strength,Energy Blasts,Super Speed,Enhanced Senses,Immortality,Phasing,Invulnerability,Force Fields,Self-Sustenance,Radiation Control,Technopath/Cyberpath,Natural Armor,Enhanced Sight,Molecular Manipulation,Heat Generation,Energy Manipulation,Time Travel,Radiation Immunity,Energy Resistance,Time Manipulation,Invisibility,Radiation Absorption"
Captain Britain,"Agility,Durability,Stealth,Flight,Super Strength,Stamina,Super Speed,Enhanced Senses,Reflexes,Force Fields"
Captain Cold,"Cryokinesis,Weapon-based Powers"
Captain Epic,"Super Strength,Super Speed,Jump"
Captain Hindsight,"Flight,Super Speed,Enhanced Senses"
Captain Marvel,"Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Flight,Danger Sense,Marksmanship,Longevity,Intelligence,Super Strength,Energy Blasts,Stamina,Super Speed,Teleportation,Magic,Clairvoyance,Immortality,Enhanced Memory,Reflexes,Invulnerability,Energy Constructs,Self-Sustenance,Precognition,Enhanced Hearing,Hypnokinesis,Levitation,Energy Manipulation,Heat Resistance,Toxin and Disease Resistance,Omnilingualism,Magic Resistance,Super Breath"
Captain Marvel II,"Intelligence,Super Strength,Clairvoyance,Invulnerability,Hypnokinesis,Omnilingualism"
Captain Midnight,"Stealth,Flight,Marksmanship,Intelligence"
Captain Planet,"Flight,Super Strength,Cryokinesis,Telepathy,Energy Blasts,Stamina,Super Speed,Electrokinesis,Enhanced Senses,Telekinesis,Shapeshifting,Immortality,Element Control,Fire Control,Invulnerability,Empathy,Elemental Transmogrification,Enhanced Hearing,Enhanced Sight,Molecular Manipulation,Enhanced Smell,Water Control,Plant Control,Sub-Mariner,Super Breath,Terrakinesis"
Captain Universe,"Cold Resistance,Flight,Power Augmentation,Energy Blasts,Enhanced Senses,Molecular Manipulation,Energy Manipulation,Heat Resistance"
Carnage,"Agility,Accelerated Healing,Durability,Danger Sense,Super Strength,Stamina,Super Speed,Weapon-based Powers,Jump,Shapeshifting,Camouflage,Reflexes,Natural Weapons,Wallcrawling,Web Creation,Symbiote Costume"
Cat,"Agility,Super Strength,Stamina,Enhanced Senses,Jump"
Catwoman,"Agility,Stealth,Marksmanship,Animal Attributes,Stamina,Dexterity,Peak Human Condition,Empathy"
Century,"Teleportation,Dimensional Travel,Regeneration"
Cerebra,Power Sense
Chamber,"Telepathy,Energy Beams,Psionic Powers,Mind Blast"
Chameleon,Shapeshifting
Changeling,"Telepathy,Telekinesis,Shapeshifting"
Cheetah,"Agility,Stealth,Stamina,Animal Oriented Powers,Reflexes"
Cheetah II,"Agility,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Reflexes"
Cheetah III,"Agility,Durability,Stealth,Animal Attributes,Intelligence,Super Strength,Stamina,Super Speed,Animal Oriented Powers,Enhanced Senses,Jump,Shapeshifting,Reflexes,Enhanced Hearing,Animal Control,Enhanced Sight,Enhanced Smell,Vision - Night"
Chromos,"Agility,Super Strength,Energy Blasts,Stamina,Teleportation,Energy Beams,Fire Control,Reflexes,Probability Manipulation,Heat Resistance,Telepathy Resistance,Vision - Heat"
Chuck Norris,Peak Human Condition
Citizen Steel,"Agility,Durability,Super Strength,Super Speed,Jump,Reflexes,Natural Armor"
Claire Bennet,"Accelerated Healing,Regeneration"
Clayface,"Agility,Super Strength,Size Changing,Density Control,Stamina,Super Speed,Shapeshifting"
Cloak,"Dimensional Awareness,Darkforce Manipulation,Teleportation,Force Fields,Intangibility"
Cogliostro,"Immortality,Invulnerability"
Colossus,"Cold Resistance,Durability,Super Strength,Stamina,Super Speed,Invulnerability,Self-Sustenance,Natural Armor,Heat Resistance"
Concrete,"Super Strength,Stamina"
Copycat,"Stealth,Weapons Master,Shapeshifting,Camouflage,Power Absorption"
Cottonmouth,Super Strength
Crimson Crusader,"Flight,Longevity,Force Fields,Gravity Control"
Crimson Dynamo,"Durability,Flight,Super Strength,Energy Blasts"
Crystal,"Super Strength,Stamina,Super Speed,Element Control,Fire Control,Reflexes,Water Control,Wind Control"
Curse,"Intelligence,Energy Blasts,Magic"
Cy-Gor,"Animal Attributes,Super Strength,Stamina,Dexterity,Super Speed,Enhanced Senses,Technopath/Cyberpath"
Cyborg,"Durability,Flight,Super Strength,Stamina,Super Speed,Weapon-based Powers,Enhanced Senses,Technopath/Cyberpath,Enhanced Hearing,Natural Armor,Power Suit,Vision - Thermal"
Cyborg Superman,"Durability,Energy Absorption,Flight,Super Strength,Stamina,Super Speed,Immortality,Invulnerability,Energy Constructs,Technopath/Cyberpath,Enhanced Hearing,Molecular Manipulation,Energy Manipulation,Vision - Telescopic,Vision - Microscopic,Vision - Night,Vision - Heat,Qwardian Power Ring,Vision - X-Ray"
Cyclops,"Agility,Energy Absorption,Marksmanship,Intelligence,Energy Blasts,Energy Beams,Energy Resistance"
DL Hawkins,Phasing
Dagger,"Energy Blasts,Light Control,Natural Weapons"
Daphne Powell,Telepathy
Daredevil,"Agility,Stealth,Marksmanship,Weapons Master,Intelligence,Telepathy,Stamina,Enhanced Senses,Reflexes,Enhanced Hearing,Echolocation,Enhanced Smell,Enhanced Touch,Radar Sense"
Darkhawk,"Durability,Flight,Energy Blasts,Weapon-based Powers,Force Fields,Power Suit,Vision - Telescopic,Vision - Infrared"
Darkman,"Durability,Intelligence,Super Strength"
Darkseid,"Agility,Accelerated Healing,Dimensional Awareness,Flight,Marksmanship,Intelligence,Super Strength,Telepathy,Energy Blasts,Size Changing,Stamina,Super Speed,Teleportation,Telekinesis,Energy Beams,Dimensional Travel,Immortality,Astral Projection,Reflexes,Invulnerability,Force Fields,Psionic Powers,Mind Control,Molecular Manipulation,Levitation,Energy Manipulation,Toxin and Disease Resistance,Resurrection"
Darkstar,"Flight,Energy Blasts,Teleportation,Energy Constructs,Energy Manipulation"
Darth Maul,"Agility,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Super Strength,Telepathy,Stamina,Electrokinesis,Darkforce Manipulation,Telekinesis,Illusions,The Force"
Darth Vader,"Agility,Accelerated Healing,Durability,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy,Energy Blasts,Super Speed,Electrokinesis,Enhanced Senses,Telekinesis,Jump,Astral Projection,Reflexes,Force Fields,Psionic Powers,Precognition,Enhanced Hearing,Hypnokinesis,Light Control,Illusions,Cloaking,The Force"
Dash,"Agility,Stamina,Super Speed,Reflexes"
Data,"Agility,Cold Resistance,Durability,Longevity,Intelligence,Super Strength,Super Speed,Enhanced Senses,Enhanced Memory,Reflexes,Technopath/Cyberpath,Enhanced Hearing,Enhanced Sight,Heat Resistance,Enhanced Smell,Omnilingualism"
Dazzler,"Agility,Energy Absorption,Marksmanship,Energy Blasts,Stamina,Audio Control,Energy Beams,Energy Constructs,Force Fields,Heat Generation,Light Control,Levitation,Energy Manipulation,Illusions,Resurrection"
Deadman,"Agility,Lantern Power Ring,Flight,Stamina,Possession,Teleportation,Magic,Immortality,Phasing,Intangibility,Levitation,Invisibility"
Deadpool,"Agility,Accelerated Healing,Dimensional Awareness,Stealth,Marksmanship,Weapons Master,Longevity,Stamina,Weapon-based Powers,Teleportation,Immortality,Reflexes,Regeneration,Toxin and Disease Resistance,Telepathy Resistance,Mind Control Resistance"
Deadshot,"Stealth,Marksmanship,Weapons Master,Stamina"
Deathlok,"Agility,Durability,Intelligence,Super Strength,Stamina,Super Speed,Enhanced Memory,Reflexes,Vision - Telescopic,Vision - Microscopic,Vision - Infrared"
Deathstroke,"Agility,Accelerated Healing,Durability,Weapons Master,Longevity,Super Strength,Super Speed,Weapon-based Powers,Enhanced Senses,Reflexes,Toxin and Disease Resistance"
Dementor,"Agility,Super Strength"
Demogoblin,"Agility,Super Strength,Telepathy,Stamina,Super Speed,Magic,Reflexes,Natural Weapons"
Destroyer,"Super Strength,Energy Blasts,Size Changing,Molecular Manipulation,Levitation"
Diamondback,"Marksmanship,Weapons Master"
Doc Samson,"Durability,Super Strength,Stamina"
Doctor Doom,"Durability,Flight,Super Strength,Energy Blasts,Stamina,Astral Travel,Super Speed,Weapon-based Powers,Electrokinesis,Teleportation,Magic,Dimensional Travel,Summoning,Force Fields,Time Travel"
Doctor Doom II,"Flight,Super Strength,Energy Blasts,Force Fields,Psionic Powers"
Doctor Fate,"Accelerated Healing,Dimensional Awareness,Flight,Longevity,Super Strength,Telepathy,Energy Blasts,Super Speed,Teleportation,Telekinesis,Dimensional Travel,Phasing,Astral Projection,Energy Constructs,Mind Control,Molecular Manipulation,Illusions,Energy Resistance,Magnetism,Time Manipulation,Invisibility,Resurrection"
Doctor Octopus,"Agility,Marksmanship,Intelligence,Super Strength,Stamina,Super Speed,Weapon-based Powers,Technopath/Cyberpath,Power Suit,Wallcrawling"
Doctor Poison,"Intelligence,Toxin and Disease Control"
Doctor Strange,"Dimensional Awareness,Flight,Longevity,Telepathy,Energy Blasts,Teleportation,Telekinesis,Magic,Dimensional Travel,Phasing,Astral Projection,Summoning,Force Fields,Hypnokinesis,Intangibility,Banish,Time Travel,Illusions,Time Manipulation,Invisibility"
Domino,"Agility,Marksmanship,Reflexes,Probability Manipulation"
Donatello,"Agility,Accelerated Healing,Stealth,Marksmanship,Weapons Master,Stamina,Jump,Natural Armor,Sub-Mariner"
Donna Troy,"Flight,Super Strength,Super Speed"
Doomsday,"Agility,Accelerated Healing,Cold Resistance,Durability,Energy Absorption,Super Strength,Stamina,Super Speed,Jump,Reflexes,Invulnerability,Self-Sustenance,Power Absorption,Natural Armor,Adaptation,Regeneration,Heat Resistance,Natural Weapons,Energy Resistance,Resurrection"
Doppelganger,"Agility,Accelerated Healing,Super Strength,Stamina,Super Speed,Shapeshifting,Reflexes,Natural Weapons,Wallcrawling"
Dormammu,"Power Augmentation,Super Strength,Telepathy,Size Changing,Stamina,Super Speed,Darkforce Manipulation,Teleportation,Magic,Dimensional Travel,Shapeshifting,Immortality,Molecular Manipulation"
Dr Manhattan,"Accelerated Healing,Durability,Energy Absorption,Flight,Longevity,Intelligence,Super Strength,Energy Blasts,Duplication,Size Changing,Density Control,Super Speed,Teleportation,Telekinesis,Immortality,Phasing,Invulnerability,Energy Constructs,Force Fields,Self-Sustenance,Precognition,Intangibility,Molecular Manipulation,Energy Manipulation,Time Travel,Omnilingualism,Time Manipulation,Matter Absorption,Molecular Dissipation"
Drax the Destroyer,"Agility,Accelerated Healing,Cold Resistance,Durability,Weapons Master,Super Strength,Stamina,Enhanced Senses,Self-Sustenance,Heat Resistance,Enhanced Smell"
Ego,"Energy Absorption,Super Strength,Super Speed"
Elastigirl,"Agility,Durability,Super Strength,Size Changing,Shapeshifting,Invulnerability,Elasticity"
Electro,"Super Speed,Electrokinesis,Electrical Transport"
Elektra,"Agility,Stealth,Danger Sense,Marksmanship,Weapons Master,Intelligence,Telepathy,Peak Human Condition,Hypnokinesis,Telepathy Resistance"
Elle Bishop,Electrokinesis
Elongated Man,"Agility,Durability,Size Changing,Shapeshifting,Elasticity"
Emma Frost,"Durability,Super Strength,Telepathy,Density Control,Stamina,Possession,Camouflage,Astral Projection,Psionic Powers,Mind Control,Natural Armor,Illusions,Telepathy Resistance,Mind Control Resistance"
Enchantress,"Accelerated Healing,Durability,Flight,Super Strength,Teleportation,Enhanced Senses,Magic,Element Control,Phasing,Fire Control,Reflexes,Energy Constructs,Intangibility,Illusions"
Energy,"Flight,Electrokinesis,Energy Manipulation"
Ethan Hunt,"Agility,Durability,Stealth,Marksmanship,Weapons Master,Intelligence,Stamina,Reflexes"
Etrigan,"Accelerated Healing,Durability,Super Strength,Energy Blasts,Enhanced Senses,Magic,Jump,Immortality,Precognition,Natural Weapons"
